,stories,topics,locations,left,center,right,story_links,majority_coverage,n_sources,title,source,sample,lean,date
0,UN 'appalled' by Saudi 34-year sentence over tweets,Twitter, New York,57%,29%,14%,http://ground.news/article/un-appalled-by-saudi-34-year-sentence-over-tweets_a89491,Left,7,UN voices outrage at Saudi 34-year sentence over tweets,The New Arab,UN rights office spokeswoman Liz Throssell urged 'the Saudi authorities to quash' the conviction of Salma Al-Shehab and 'release her immediately and unconditionally'.,left,2022-08-20
0,UN 'appalled' by Saudi 34-year sentence over tweets,Twitter, New York,57%,29%,14%,http://ground.news/article/un-appalled-by-saudi-34-year-sentence-over-tweets_a89491,Left,7,Saudi Arabia: UN calls for release of woman sentenced to 34 years in prison for tweeting,UN News,"The UN human rights office, OHCHR, expressed outrage on Friday over a 34-year prison sentence handed down to a Saudi woman charged with following and retweeting so-called dissidents and activists.",center,2022-08-20
1,Florida candidate advocates shooting federal law enforcement officers,Twitter, Florida,33%,45%,22%,http://ground.news/article/fla-state-house-candidate-banned-from-twitter-for-suggesting-violence-against-federal-officials_84a9f2,Center,9,Fla. state House candidate banned from Twitter for suggesting violence against federal officials,The Hill,"A candidate for running for a seat in Florida’s state House was banned on Twitter on Thursday after he advocated violence against the FBI and other federal agencies. “Under my plan, all Flori…",center,2022-08-20
1,Florida candidate advocates shooting federal law enforcement officers,Twitter, Florida,33%,45%,22%,http://ground.news/article/fla-state-house-candidate-banned-from-twitter-for-suggesting-violence-against-federal-officials_84a9f2,Center,9,Florida candidate advocates shooting federal law enforcement officers,NY Daily News,"'Under my plan, all Floridians will be able to shoot FBI, IRS, ATF, and all other federal troops on sight,' Luis Miguel reportedly tweeted",left,2022-08-20
1,Florida candidate advocates shooting federal law enforcement officers,Twitter, Florida,33%,45%,22%,http://ground.news/article/fla-state-house-candidate-banned-from-twitter-for-suggesting-violence-against-federal-officials_84a9f2,Center,9,‘Let Freedom Ring’: Florida GOP Candidate Banned From Twitter After Calling to Legalize Hunting Feds,Sputnik News [🇷🇺-affiliated],Several pro-Trump candidates have faced major pushback after incendiary rhetoric towards US Attorney General Merrick Garland and agents working for a number of federal agencies following the raid of the former president’s Mar-a-Lago...,right,2022-08-20
1,Florida candidate advocates shooting federal law enforcement officers,Twitter, Florida,33%,45%,22%,http://ground.news/article/fla-state-house-candidate-banned-from-twitter-for-suggesting-violence-against-federal-officials_84a9f2,Center,9,Twitter suspends US Republican candidate's account after threats against FBI,Anadolu Ajansı,"Republican seeking office in Florida proposes allowing Floridians to 'shoot FBI, IRS, ATF, and all other federal' agents - Anadolu Agency",right,2022-08-20
1,Florida candidate advocates shooting federal law enforcement officers,Twitter, Florida,33%,45%,22%,http://ground.news/article/fla-state-house-candidate-banned-from-twitter-for-suggesting-violence-against-federal-officials_84a9f2,Center,9,GOP candidate for Florida House is booted from Twitter after post about shooting federal agents,NBC News,A Republican candidate seeking a House seat in the Florida Legislature had his Twitter account yanked after a post about violence against federal agents.,left,2022-08-20
1,Florida candidate advocates shooting federal law enforcement officers,Twitter, Florida,33%,45%,22%,http://ground.news/article/fla-state-house-candidate-banned-from-twitter-for-suggesting-violence-against-federal-officials_84a9f2,Center,9,Twitter bans Florida Republican for encouraging the killing of federal agents,The Verge,"""Under my plan, all Floridians will be able to shoot FBI, IRS, ATF, and all other federal troops""",left,2022-08-20
2,Bill Paxton family settles lawsuit with hospital over 2017 death,US & Canada, Los Angeles,21%,66%,13%,http://ground.news/article/bill-paxton-family-settles-lawsuit-with-hospital-over-2017-death,Center,38,Family of Bill Paxton settles wrongful death lawsuit with Los Angeles hospital,The Guardian,"US actor, who starred in Apollo 13, died in 2017 from stroke 11 days after undergoing heart surgery at Cedars-Sinai",left,2022-08-20
2,Bill Paxton family settles lawsuit with hospital over 2017 death,US & Canada, Los Angeles,21%,66%,13%,http://ground.news/article/bill-paxton-family-settles-lawsuit-with-hospital-over-2017-death,Center,38,Family of actor Bill Paxton agrees to settle wrongful death lawsuit,CBC News,"The family of the late actor Bill Paxton has agreed to settle a wrongful death lawsuit against a Los Angeles hospital and the surgeon who performed his heart surgery shortly before he died in 2017, according to a court filing Friday.",left,2022-08-20
2,Bill Paxton family settles lawsuit with hospital over 2017 death,US & Canada, Los Angeles,21%,66%,13%,http://ground.news/article/bill-paxton-family-settles-lawsuit-with-hospital-over-2017-death,Center,38,Bill Paxton family settles lawsuit with hospital over death,The Independent,The family of the late actor Bill Paxton has agreed to settle a wrongful death lawsuit against a Los Angeles hospital and the surgeon who performed his heart surgery shortly before he died in 2017,left,2022-08-20
2,Bill Paxton family settles lawsuit with hospital over 2017 death,US & Canada, Los Angeles,21%,66%,13%,http://ground.news/article/bill-paxton-family-settles-lawsuit-with-hospital-over-2017-death,Center,38,Bill Paxton's family reaches settlement in wrongful death lawsuit that began four years ago,USA Today,The family of Bill Paxton has agreed to settle a wrongful death lawsuit against a hospital and the surgeon who performed his heart surgery.,left,2022-08-20
2,Bill Paxton family settles lawsuit with hospital over 2017 death,US & Canada, Los Angeles,21%,66%,13%,http://ground.news/article/bill-paxton-family-settles-lawsuit-with-hospital-over-2017-death,Center,38,Bill Paxton’s family settles wrongful death lawsuit with hospital,Washington Times,"The family of the late actor Bill Paxton has agreed to settle a wrongful death lawsuit against a Los Angeles hospital and the surgeon who performed his heart surgery shortly before he died in 2017, according to a court filing Friday.",right,2022-08-20
2,Bill Paxton family settles lawsuit with hospital over 2017 death,US & Canada, Los Angeles,21%,66%,13%,http://ground.news/article/bill-paxton-family-settles-lawsuit-with-hospital-over-2017-death,Center,38,Bill Paxton family settles lawsuit with hospital over death,abc News,The family of the late actor Bill Paxton has agreed to settle a wrongful death lawsuit against a Los Angeles hospital and the surgeon who performed his heart surgery shortly before he died in 2017,left,2022-08-20
3,Officer involved in the deadly raid on Breonna Taylor's home has been terminated,Black Lives Matter, Louisville,39%,53%,8%,http://ground.news/article/officer-involved-in-the-deadly-raid-on-breonna-taylors-home-has-been-terminated_919961,Center,13,Fourth Louisville police officer fired in connection to raid on Breonna Taylor's apartment,USA Today,A fourth Louisville police officer has been fired in connection with the raid on Breonna Taylor's apartment in 2020.,left,2022-08-20
3,Officer involved in the deadly raid on Breonna Taylor's home has been terminated,Black Lives Matter, Louisville,39%,53%,8%,http://ground.news/article/officer-involved-in-the-deadly-raid-on-breonna-taylors-home-has-been-terminated_919961,Center,13,Officer involved in the deadly raid on Breonna Taylor's home has been terminated,CNN,"One of the officers involved in the deadly raid on Breonna Taylor's home, Sergeant Kyle Meany, has been terminated from the Louisville Metro Police Department.",left,2022-08-20
3,Officer involved in the deadly raid on Breonna Taylor's home has been terminated,Black Lives Matter, Louisville,39%,53%,8%,http://ground.news/article/officer-involved-in-the-deadly-raid-on-breonna-taylors-home-has-been-terminated_919961,Center,13,Louisville officer fired after being federally charged over Breonna Taylor raid,CBS News,Sgt. Kyle Meany is one of four current or former Louisville police officers facing federal charges in connection with the 2020 shooting death of Breonna Taylor.,left,2022-08-20
3,Officer involved in the deadly raid on Breonna Taylor's home has been terminated,Black Lives Matter, Louisville,39%,53%,8%,http://ground.news/article/officer-involved-in-the-deadly-raid-on-breonna-taylors-home-has-been-terminated_919961,Center,13,Officer involved in the deadly raid on Breonna Taylor's home has been terminated,KIFI,"By Jennifer Henderson and Amy Simonson, CNNOne of the officers involved in the deadly raid on Breonna Taylor’s home, Sergeant Kyle Meany, has been terminated from the Louisville Metro Police Department.Chief Erika Shields released the following statement Friday, “I made the decision to terminate Sergeant Kyle Meany after careful consideration and not with ease. I fully respect the judicial process and realize Sergeant Meany has yet to be heard b…",center,2022-08-20
3,Officer involved in the deadly raid on Breonna Taylor's home has been terminated,Black Lives Matter, Louisville,39%,53%,8%,http://ground.news/article/officer-involved-in-the-deadly-raid-on-breonna-taylors-home-has-been-terminated_919961,Center,13,LMPD chief terminates cop facing federal charges in Breonna Taylor case,Spectrum News,Shields announced she was terminating Kyle Meany,center,2022-08-20
3,Officer involved in the deadly raid on Breonna Taylor's home has been terminated,Black Lives Matter, Louisville,39%,53%,8%,http://ground.news/article/officer-involved-in-the-deadly-raid-on-breonna-taylors-home-has-been-terminated_919961,Center,13,Kentucky sergeant facing federal charges in Breonna Taylor case fired,WLKY,The sergeant facing federal charges in connection to the deadly raid on Breonna Taylor's home has officially been fired by Louisville Metro police.,center,2022-08-20
4,UN: US buying big Ukraine grain shipment for hungry regions,Europe, Washington,33%,43%,24%,http://ground.news/article/un-us-buying-big-ukraine-grain-shipment-for-hungry-regions_b477dc,Center,21,UN: US buying big Ukraine grain shipment for hungry regions,Times of India,"India News: BULLA HAGAR: The United States is stepping up to buy about 150,000 metric tons of grain from Ukraine in the next few weeks for an upcoming shipment of.",right,2022-08-20
4,UN: US buying big Ukraine grain shipment for hungry regions,Europe, Washington,33%,43%,24%,http://ground.news/article/un-us-buying-big-ukraine-grain-shipment-for-hungry-regions_b477dc,Center,21,UN: U.S. buying big Ukraine grain shipment for hungry regions,CTV News,"The United States is stepping up to buy about 150,000 metric tons of grain from Ukraine in the next few weeks for an upcoming shipment of food aid from ports no longer blockaded by war, the World Food Program chief has told The Associated Press.",center,2022-08-20
4,UN: US buying big Ukraine grain shipment for hungry regions,Europe, Washington,33%,43%,24%,http://ground.news/article/un-us-buying-big-ukraine-grain-shipment-for-hungry-regions_b477dc,Center,21,U.S. buying big Ukraine grain shipment for hungry regions: U.N.,The Hindu,"The head of the World Food program says the United States is stepping up to buy about 1,50,000 metric tons of grain from Ukraine in the next few weeks for an upcoming shipment to hungry areas of the world",left,2022-08-20
4,UN: US buying big Ukraine grain shipment for hungry regions,Europe, Washington,33%,43%,24%,http://ground.news/article/un-us-buying-big-ukraine-grain-shipment-for-hungry-regions_b477dc,Center,21,UN: US buying big Ukraine grain shipment for hungry regions,abc News,"The head of the World Food program says the United States is stepping up to buy about 150,000 metric tons of grain from Ukraine in the next few weeks for an upcoming shipment to hungry areas of the world",left,2022-08-20
4,UN: US buying big Ukraine grain shipment for hungry regions,Europe, Washington,33%,43%,24%,http://ground.news/article/un-us-buying-big-ukraine-grain-shipment-for-hungry-regions_b477dc,Center,21,UN: US buying big Ukraine grain shipment for hungry regions,Associated Press News,"BULLA HAGAR, Kenya (AP) — The United States  is stepping up to buy about 150,000 metric tons of grain from Ukraine in the next few weeks for an upcoming shipment of food aid from ports no longer blockaded by war, the World Food Program chief has told The Associated Press.",left,2022-08-20
4,UN: US buying big Ukraine grain shipment for hungry regions,Europe, Washington,33%,43%,24%,http://ground.news/article/un-us-buying-big-ukraine-grain-shipment-for-hungry-regions_b477dc,Center,21,US buying large shipment of Ukrainian grain for food aid,Independent.ie,"The United States is to buy about 150,000 metric tons of grain from Ukraine in the next few weeks for an upcoming shipment of food aid from ports no longer blockaded by war.",right,2022-08-20
5,'Pioneering' new smart glasses to be trialled by nurses to help them spend more time with patients,Europe, London,60%,20%,20%,http://ground.news/article/pioneering-new-smart-glasses-to-be-trialled-by-nurses-to-help-them-spend-more-time-with-patients_269c39,Left,5,New smart glasses to help nurses maximise time with patients on home visits,The Independent,The virtual reality-style goggles will transcribe appointments directly to electronic records in a bid to reduce time-consuming administration tasks.,left,2022-08-20
5,'Pioneering' new smart glasses to be trialled by nurses to help them spend more time with patients,Europe, London,60%,20%,20%,http://ground.news/article/pioneering-new-smart-glasses-to-be-trialled-by-nurses-to-help-them-spend-more-time-with-patients_269c39,Left,5,Britain equips nurses with smart goggles to see more patients,Sydney Morning Herald,"The virtual reality headsets will help nurses transcribe medical records, automate administrative work, and share live footage for consults with hospital colleagues.",left,2022-08-20
5,'Pioneering' new smart glasses to be trialled by nurses to help them spend more time with patients,Europe, London,60%,20%,20%,http://ground.news/article/pioneering-new-smart-glasses-to-be-trialled-by-nurses-to-help-them-spend-more-time-with-patients_269c39,Left,5,NHS trialling 'smart goggles' so nurses can see more patients,The Telegraph,"A £400,000 pilot scheme aims to help nurses who spend over half their time filling out forms",right,2022-08-20
5,'Pioneering' new smart glasses to be trialled by nurses to help them spend more time with patients,Europe, London,60%,20%,20%,http://ground.news/article/pioneering-new-smart-glasses-to-be-trialled-by-nurses-to-help-them-spend-more-time-with-patients_269c39,Left,5,'Pioneering' new smart glasses to be trialled by nurses to help them spend more time with patients,Sky News,"The smart glasses will allow live footage to be shared from care visits with hospital colleagues, so they can get a second opinion immediately, instead of booking further appointments.",center,2022-08-20
5,'Pioneering' new smart glasses to be trialled by nurses to help them spend more time with patients,Europe, London,60%,20%,20%,http://ground.news/article/pioneering-new-smart-glasses-to-be-trialled-by-nurses-to-help-them-spend-more-time-with-patients_269c39,Left,5,New smart glasses to help nurses maximise time with patients on home visits,Shropshire Star,The virtual reality-style goggles will transcribe appointments directly to electronic records in a bid to reduce time-consuming administration tasks.,None,2022-08-20
5,'Pioneering' new smart glasses to be trialled by nurses to help them spend more time with patients,Europe, London,60%,20%,20%,http://ground.news/article/pioneering-new-smart-glasses-to-be-trialled-by-nurses-to-help-them-spend-more-time-with-patients_269c39,Left,5,New smart glasses to help nurses maximise time with patients on visits,Stv,A new NHS trial will see nurses wear virtual reality style goggles on home visits to patients.,None,2022-08-20
6,P&O Ferries won't face criminal action over mass sacking of staff,Europe, London,33%,25%,42%,http://ground.news/article/p-and-o-ferries-wont-face-criminal-action-over-mass-sacking-of-staff_52ac23,Right,12,P&O Ferries won't face criminal action over mass sacking of staff,BBC News,"The Insolvency Service said there was no likely prospect of conviction, but a civil investigation is ongoing.",center,2022-08-20
6,P&O Ferries won't face criminal action over mass sacking of staff,Europe, London,33%,25%,42%,http://ground.news/article/p-and-o-ferries-wont-face-criminal-action-over-mass-sacking-of-staff_52ac23,Right,12,P&O will not face criminal proceedings for mass sacking of staff,The Guardian,Insolvency Service’s decision has prompted calls for a change in the law to better protect workers in the future,left,2022-08-20
6,P&O Ferries won't face criminal action over mass sacking of staff,Europe, London,33%,25%,42%,http://ground.news/article/p-and-o-ferries-wont-face-criminal-action-over-mass-sacking-of-staff_52ac23,Right,12,P&O Ferries escapes criminal prosecution over mass sackings,The Independent,Lawyers advised Insolvency Service there was ‘no realistic prospect of a conviction’,left,2022-08-20
6,P&O Ferries won't face criminal action over mass sacking of staff,Europe, London,33%,25%,42%,http://ground.news/article/p-and-o-ferries-wont-face-criminal-action-over-mass-sacking-of-staff_52ac23,Right,12,Fury as P&O faces no criminal action over mass sackings of 800 workers,Daily Mirror,"The Insolvency Service said it had determined there was ""no realistic prospect of a conviction""",left,2022-08-20
6,P&O Ferries won't face criminal action over mass sacking of staff,Europe, London,33%,25%,42%,http://ground.news/article/p-and-o-ferries-wont-face-criminal-action-over-mass-sacking-of-staff_52ac23,Right,12,P&O Ferries avoids criminal proceedings over staff sackings,The Telegraph,"There is 'no realistic prospect of a conviction', says Insolvency Service",right,2022-08-20
6,P&O Ferries won't face criminal action over mass sacking of staff,Europe, London,33%,25%,42%,http://ground.news/article/p-and-o-ferries-wont-face-criminal-action-over-mass-sacking-of-staff_52ac23,Right,12,"P&O will not face criminal action after firing almost 800 workers, Insolvency Service says",Sky News,The company caused outrage and was hauled in front of MPs to answer questions in March when it sacked hundreds of workers without notice.,center,2022-08-20
7,Washington state school shooter sentenced to 40 years,US & Canada, Spokane,23%,54%,23%,http://ground.news/article/washington-school-shooter-sentenced-to-40-years-to-life_9491c7,Center,13,Washington state school shooter sentenced to 40 years,abc News,"A man who shot one classmate to death and wounded three others five years ago in a Washington state high school, apologized to his victims before he was sentenced to 40 years in prison",left,2022-08-20
7,Washington state school shooter sentenced to 40 years,US & Canada, Spokane,23%,54%,23%,http://ground.news/article/washington-school-shooter-sentenced-to-40-years-to-life_9491c7,Center,13,Washington state school shooter sentenced to 40 years,Associated Press News,"SPOKANE, Wash. (AP) — Caleb Sharpe, who shot one classmate to death and wounded three others five years ago in a Washington state high school, apologized to his victims before he was sentenced Friday to at least 40 years in prison.",left,2022-08-20
7,Washington state school shooter sentenced to 40 years,US & Canada, Spokane,23%,54%,23%,http://ground.news/article/washington-school-shooter-sentenced-to-40-years-to-life_9491c7,Center,13,Washington school shooter sentenced to 40 years to life,KRDO,"SPOKANE, Wash. (AP) — A man who shot one classmate to death and wounded three others five years ago in a Washington state high school, apologized to his victims before he was sentenced to 40 years to life in prison. Caleb Sharpe, who was 15 at the time of the 2017 shootings at Freeman High School, pleaded guilty earlier this year in Spokane County Superior Court. The 20-year-old Sharpe showed no emotion as Superior Court Judge Michael Price hand…",center,2022-08-20
7,Washington state school shooter sentenced to 40 years,US & Canada, Spokane,23%,54%,23%,http://ground.news/article/washington-school-shooter-sentenced-to-40-years-to-life_9491c7,Center,13,Washington school shooter sentenced to 40 years to life - Local News 8,KIFI,"SPOKANE, Wash. (AP) — Caleb Sharpe, who shot one classmate to death and wounded three others five years ago in a Washington state high school, apologized to his victims before he was sentenced Friday to 40 years in prison.Sharpe, who was 15 at the time of the 2017 shootings, pleaded guilty early this year in Spokane County Superior Court. The 20-year-old Sharpe showed no emotion as Superior Court Judge Michael Price handed down a sentence that w…",center,2022-08-20
7,Washington state school shooter sentenced to 40 years,US & Canada, Spokane,23%,54%,23%,http://ground.news/article/washington-school-shooter-sentenced-to-40-years-to-life_9491c7,Center,13,Washington state school shooter sentenced to 40 years,National Post,"SPOKANE, Wash. (AP) -- Caleb Sharpe, who shot one classmate to death and wounded three others five years ago in a Washington state high school, apologized to his victims before he was sentenced Friday to at least 40 years in prison. Read More",right,2022-08-20
7,Washington state school shooter sentenced to 40 years,US & Canada, Spokane,23%,54%,23%,http://ground.news/article/washington-school-shooter-sentenced-to-40-years-to-life_9491c7,Center,13,Washington school shooter sentenced to 40 years to life,MY Northwest,"SPOKANE, Wash. (AP) — Caleb Sharpe, who shot one classmate to death and wounded three others five years ago in a Washington state high school, apologized to his victims before he was sentenced Friday to 40 years in prison.Sharpe, who was 15 at the time of the 2017 shootings, pleaded guilty early this year in Spokane County Superior Court. The 20-year-old Sharpe showed no emotion as Superior Court Judge Michael Price handed down a sentence that w…",right,2022-08-20
8,Washington state school shooter sentenced to 40 years,US & Canada, Spokane,23%,54%,23%,http://ground.news/article/washington-school-shooter-sentenced-to-40-years-to-life_9491c7,Center,13,Washington state school shooter sentenced to 40 years,abc News,"A man who shot one classmate to death and wounded three others five years ago in a Washington state high school, apologized to his victims before he was sentenced to 40 years in prison",left,2022-08-20
8,Washington state school shooter sentenced to 40 years,US & Canada, Spokane,23%,54%,23%,http://ground.news/article/washington-school-shooter-sentenced-to-40-years-to-life_9491c7,Center,13,Washington state school shooter sentenced to 40 years,Associated Press News,"SPOKANE, Wash. (AP) — Caleb Sharpe, who shot one classmate to death and wounded three others five years ago in a Washington state high school, apologized to his victims before he was sentenced Friday to at least 40 years in prison.",left,2022-08-20
8,Washington state school shooter sentenced to 40 years,US & Canada, Spokane,23%,54%,23%,http://ground.news/article/washington-school-shooter-sentenced-to-40-years-to-life_9491c7,Center,13,Washington school shooter sentenced to 40 years to life,KRDO,"SPOKANE, Wash. (AP) — A man who shot one classmate to death and wounded three others five years ago in a Washington state high school, apologized to his victims before he was sentenced to 40 years to life in prison. Caleb Sharpe, who was 15 at the time of the 2017 shootings at Freeman High School, pleaded guilty earlier this year in Spokane County Superior Court. The 20-year-old Sharpe showed no emotion as Superior Court Judge Michael Price hand…",center,2022-08-20
8,Washington state school shooter sentenced to 40 years,US & Canada, Spokane,23%,54%,23%,http://ground.news/article/washington-school-shooter-sentenced-to-40-years-to-life_9491c7,Center,13,Washington school shooter sentenced to 40 years to life - Local News 8,KIFI,"SPOKANE, Wash. (AP) — Caleb Sharpe, who shot one classmate to death and wounded three others five years ago in a Washington state high school, apologized to his victims before he was sentenced Friday to 40 years in prison.Sharpe, who was 15 at the time of the 2017 shootings, pleaded guilty early this year in Spokane County Superior Court. The 20-year-old Sharpe showed no emotion as Superior Court Judge Michael Price handed down a sentence that w…",center,2022-08-20
8,Washington state school shooter sentenced to 40 years,US & Canada, Spokane,23%,54%,23%,http://ground.news/article/washington-school-shooter-sentenced-to-40-years-to-life_9491c7,Center,13,Washington state school shooter sentenced to 40 years,National Post,"SPOKANE, Wash. (AP) -- Caleb Sharpe, who shot one classmate to death and wounded three others five years ago in a Washington state high school, apologized to his victims before he was sentenced Friday to at least 40 years in prison. Read More",right,2022-08-20
8,Washington state school shooter sentenced to 40 years,US & Canada, Spokane,23%,54%,23%,http://ground.news/article/washington-school-shooter-sentenced-to-40-years-to-life_9491c7,Center,13,Washington school shooter sentenced to 40 years to life,MY Northwest,"SPOKANE, Wash. (AP) — Caleb Sharpe, who shot one classmate to death and wounded three others five years ago in a Washington state high school, apologized to his victims before he was sentenced Friday to 40 years in prison.Sharpe, who was 15 at the time of the 2017 shootings, pleaded guilty early this year in Spokane County Superior Court. The 20-year-old Sharpe showed no emotion as Superior Court Judge Michael Price handed down a sentence that w…",right,2022-08-20
9,New estimate projects cost of raising a child at $310K,US & Canada, Washington,0%,78%,22%,http://ground.news/article/new-estimate-projects-cost-of-raising-a-child-at-310k_1c9bb7,Center,9,New estimate projects cost of raising a child at $310K,The Hill,"The figure is roughly $80,000 more than the estimate USDA released in 2017, when it calculated the average child-rearing costs for a middle-income, married couple with a child born in the same year…",center,2022-08-20
9,New estimate projects cost of raising a child at $310K,US & Canada, Washington,0%,78%,22%,http://ground.news/article/new-estimate-projects-cost-of-raising-a-child-at-310k_1c9bb7,Center,9,New estimate projects cost of raising a child at $310K,PIX 11,"The figure is roughly $80,000 more than the estimate USDA released in 2017, when it calculated the average child-rearing costs for a middle-income, married couple with a child born in the same year…",center,2022-08-20
9,New estimate projects cost of raising a child at $310K,US & Canada, Washington,0%,78%,22%,http://ground.news/article/new-estimate-projects-cost-of-raising-a-child-at-310k_1c9bb7,Center,9,"It Now Costs $300,000 to Raise a Child",Wall Street Journal,"A middle-income family might spend more than $18,000 a year on a child born in 2015, as inflation hits food, housing, haircuts and sports, according to a Brookings Institution analysis.",right,2022-08-20
9,New estimate projects cost of raising a child at $310K,US & Canada, Washington,0%,78%,22%,http://ground.news/article/new-estimate-projects-cost-of-raising-a-child-at-310k_1c9bb7,Center,9,New estimate projects cost of raising a child at $310K,Kron 4 News,"The figure is roughly $80,000 more than the estimate USDA released in 2017, when it calculated the average child-rearing costs for a middle-income, married couple with a child born in the same year…",center,2022-08-20
9,New estimate projects cost of raising a child at $310K,US & Canada, Washington,0%,78%,22%,http://ground.news/article/new-estimate-projects-cost-of-raising-a-child-at-310k_1c9bb7,Center,9,The cost of raising a child,Axios,"""It's useful to remind people how much it's going to cost to raise a child. It's not exactly trivial,""",center,2022-08-20
9,New estimate projects cost of raising a child at $310K,US & Canada, Washington,0%,78%,22%,http://ground.news/article/new-estimate-projects-cost-of-raising-a-child-at-310k_1c9bb7,Center,9,New estimate projects cost of raising a child at $310K,KOIN 6,"The figure is roughly $80,000 more than the estimate USDA released in 2017, when it calculated the average child-rearing costs for a middle-income, married couple with a child born in the same year…",center,2022-08-20
10,FDA asks Pfizer to test second Paxlovid course in patients with COVID rebound,Business, Washington,27%,37%,36%,http://ground.news/article/fda-asks-pfizer-to-test-second-paxlovid-course-in-patients-with-covid-rebound_8d98c5,Center,11,FDA asks Pfizer to test second Paxlovid course in patients with COVID rebound,Times of India,"The drugmaker must produce the initial results of a randomized controlled trial of a second course of the antiviral by Sep. 30 next year, the FDA told..",right,2022-08-20
10,FDA asks Pfizer to test second Paxlovid course in patients with COVID rebound,Business, Washington,27%,37%,36%,http://ground.news/article/fda-asks-pfizer-to-test-second-paxlovid-course-in-patients-with-covid-rebound_8d98c5,Center,11,FDA asks Pfizer to test second Paxlovid course in patients with COVID rebound,Reuters,"The U.S. Food and Drug Administration (FDA) has asked Pfizer Inc to test the effects of an additional course of its antiviral Paxlovid among people who experience a rebound in COVID-19 after treatment, the regulator said on Friday.",center,2022-08-20
10,FDA asks Pfizer to test second Paxlovid course in patients with COVID rebound,Business, Washington,27%,37%,36%,http://ground.news/article/fda-asks-pfizer-to-test-second-paxlovid-course-in-patients-with-covid-rebound_8d98c5,Center,11,U.S. FDA orders Pfizer to test 2nd Paxlovid course for rebound COVID patients,Global News,The U.S. FDA has ordered Pfizer Inc PFE.N to test the effects of an additional course of its antiviral Paxlovid among people who experience a rebound in COVID-19 after treatment,left,2022-08-20
10,FDA asks Pfizer to test second Paxlovid course in patients with COVID rebound,Business, Washington,27%,37%,36%,http://ground.news/article/fda-asks-pfizer-to-test-second-paxlovid-course-in-patients-with-covid-rebound_8d98c5,Center,11,FDA asks Pfizer to test second Paxlovid course in patients with COVID rebound,Financial Post,"The U.S. Food and Drug Administration has ordered Pfizer Inc to test the effects of an additional course of Paxlovid among people who experience a rebound in COVID-19 after treatment, Bloomberg News reported on Friday. Read More",right,2022-08-20
10,FDA asks Pfizer to test second Paxlovid course in patients with COVID rebound,Business, Washington,27%,37%,36%,http://ground.news/article/fda-asks-pfizer-to-test-second-paxlovid-course-in-patients-with-covid-rebound_8d98c5,Center,11,FDA asks Pfizer to test second Paxlovid course in patients with COVID rebound,Arab News,"ID: 1660940618050312200Fri, 2022-08-19 23:26
	DUBAI: The US Food and Drug Administration (FDA) has ordered Pfizer Inc. to test the effects of an additional course of its antiviral Paxlovid among people who experience a rebound in COVID-19 after treatment, the regulator said on Friday.
	The drugmaker must produce initial results of a randomized controlled trial of a second course of the antiviral by Sept. 30 next year, the FDA told Pfizer in a le…",right,2022-08-20
10,FDA asks Pfizer to test second Paxlovid course in patients with COVID rebound,Business, Washington,27%,37%,36%,http://ground.news/article/fda-asks-pfizer-to-test-second-paxlovid-course-in-patients-with-covid-rebound_8d98c5,Center,11,Pfizer to Test Second Paxlovid Course in Patients With Covid Rebound,Bloomberg,"Pfizer Inc. was ordered by US regulators to test the effects of an additional course of Paxlovid among people who experience a rebound in Covid-19 after treatment, putting the drug through further study as reports of the mysterious phenomenon continue to mount.",left,2022-08-20
11,Trump hints at legal action in response to Mar-a-Lago search,US & Canada, Washington,35%,18%,47%,http://ground.news/article/trump-hints-at-legal-action-in-response-to-mar-a-lago-search_881e37,Right,17,Donald Trump hints at legal action over FBI’s Mar-a-Lago search,The Independent,Donald Trump has hinted that he may take legal action over the FBI’s search at his Mar-a-Lago estate last week.,left,2022-08-20
11,Trump hints at legal action in response to Mar-a-Lago search,US & Canada, Washington,35%,18%,47%,http://ground.news/article/trump-hints-at-legal-action-in-response-to-mar-a-lago-search_881e37,Right,17,Trump's relentless attacks on Mar-a-Lago search lack context. What he said vs. what we know.,USA Today,"Espionage, 'top secret' documents, a sealed warrant –the FBI search of Trump's Mar-a-Lago estate gave us a lot to talk about. But what's the truth?",left,2022-08-20
11,Trump hints at legal action in response to Mar-a-Lago search,US & Canada, Washington,35%,18%,47%,http://ground.news/article/trump-hints-at-legal-action-in-response-to-mar-a-lago-search_881e37,Right,17,Trump hints at legal action in response to Mar-a-Lago search,The Hill,Trump said in a post on his social media platform Truth Social that a “major motion” related to the Fourth Amendment to the Constitution will soon be filed related to the search. He claimed his rig…,center,2022-08-20
11,Trump hints at legal action in response to Mar-a-Lago search,US & Canada, Washington,35%,18%,47%,http://ground.news/article/trump-hints-at-legal-action-in-response-to-mar-a-lago-search_881e37,Right,17,Trump teases filing Fourth Amendment motion in rant against FBI and DOJ,Washington Examiner,"Former President Donald Trump warned in a rant Friday that he would file a ""major motion"" against the FBI and Justice Department before the midterm elections, according to his posts on social media.",right,2022-08-20
11,Trump hints at legal action in response to Mar-a-Lago search,US & Canada, Washington,35%,18%,47%,http://ground.news/article/trump-hints-at-legal-action-in-response-to-mar-a-lago-search_881e37,Right,17,Trump hints at legal action over Mar-a-Lago search,New York Post,"Trump made the announcement on his Truth Social platform, alleging that his constitutional rights against unreasonable search and seizure were violated in the Aug. 8 Mar-a-Lago search.",right,2022-08-20
